id,observed_on,time_observed_at,user_id,latitude,longitude,positional_accuracy,scientific_name,common_name,taxon_id
39183,2011-10-20,2011-10-20 18:42:00 UTC,129,51.0459053027,-114.032356739,,Betula pendula,silver birch,83992
39184,2011-10-19,2011-10-19 16:27:00 UTC,129,51.0629800838,-114.139816761,,Pica hudsonia,Black-billed Magpie,143853
103872,2012-07-20,,5459,51.1217020622,-114.1003964497,,Bombycilla cedrorum,Cedar Waxwing,7428
103874,2012-07-20,,5459,51.1209115562,-114.1021751295,,Odocoileus virginianus,White-tailed Deer,42223
103875,2012-07-20,,5459,51.1250293016,-114.1031057028,,Argynnis callippe,Callippe Fritillary,1456571
111864,2012-08-05,,549,51.045113,-114.057141,27079,Lepus townsendii,White-tailed Jackrabbit,43145
269551,2013-05-16,2013-05-16 17:16:37 UTC,16701,51.03215451,-114.19940272,6,Populus tremuloides,trembling aspen,54840
269552,2013-05-16,2013-05-16 17:10:52 UTC,16701,51.03319239,-114.19921717,10,Salix,Willows,53453
269553,2013-05-17,2013-05-17 17:45:00 UTC,16701,51.0035599432,-114.0042750497,10,Prunus virginiana,chokecherry,54835
274751,2013-05-21,2013-05-21 22:20:01 UTC,16701,51.03279368,-114.19810375,10,Shepherdia argentea,silver buffaloberry,79071
274752,2013-05-21,2013-05-21 22:11:34 UTC,16701,51.03278923,-114.19809804,8,Ranunculus sceleratus,cursed crowfoot,59301
274753,2013-05-21,2013-05-21 22:08:58 UTC,16701,51.03279312,-114.19809289,3,Dodecatheon,Shooting Stars,742759
274754,2013-05-21,2013-05-21 22:08:41 UTC,16701,51.0381032,-114.1893908,1351,Potentilla,cinquefoils,53186
274755,2013-05-21,2013-05-21 22:00:41 UTC,16701,51.0372749,-114.192097,1436,Shepherdia canadensis,Canadian buffalo-berry,79072
274756,2013-05-21,2013-05-21 21:39:46 UTC,16701,51.0376325,-114.1923513,1351,Picea glauca,white spruce,117326
274757,2013-05-16,2013-05-16 18:42:36 UTC,16701,51.03390256,-114.19290736,10,Taraxacum officinale,common dandelion,47602
280749,2013-05-28,2013-05-28 18:37:33 UTC,16701,51.03310798,-114.19715021,32,Thlaspi arvense,field penny-cress,79358
280751,2013-05-28,2013-05-28 18:34:48 UTC,16701,51.0376231,-114.1923651,1348,Medicago lupulina,Black Medick,57056
280752,2013-05-28,2013-05-28 18:19:34 UTC,16701,51.03328744,-114.19717393,11,Maianthemum stellatum,star-flowered lily-of-the-valley,53268
280753,2013-05-28,2013-05-28 18:04:30 UTC,16701,51.03302,-114.19728056,13,Thlaspi arvense,field penny-cress,79358
498881,2005-05-15,2005-05-15 17:57:09 UTC,2179,51.041439,-114.041622,2685,Branta canadensis,Canada Goose,7089
498883,2005-05-15,2005-05-15 17:57:09 UTC,2179,51.041439,-114.041622,2685,Anas platyrhynchos,Mallard,6930
520271,2014-01-30,2014-01-30 19:30:16 UTC,29860,50.974494,-114.030614,651,Odocoileus virginianus,White-tailed Deer,42223
520314,2014-02-04,2014-02-04 13:10:25 UTC,29860,51.020408,-114.064417,22,Lepus townsendii,White-tailed Jackrabbit,43145
520319,2014-02-03,2014-02-03 19:30:28 UTC,29860,50.976552,-114.029963,187,Sciurus carolinensis,Eastern Gray Squirrel,46017
520382,2014-01-04,2014-01-04 16:31:52 UTC,29860,51.009331,-114.212907,169,Tamiasciurus hudsonicus,American Red Squirrel,46260
520668,2014-02-04,2014-02-04 19:20:25 UTC,29860,50.977576,-114.032257,164,Sciurus carolinensis,Eastern Gray Squirrel,46017
521481,2014-02-04,2014-02-04 19:30:12 UTC,29860,50.97438,-114.035029,76,Canis latrans,Coyote,42051
523504,2014-02-07,2014-02-07 14:08:11 UTC,29860,50.978789,-114.011593,65,Lepus townsendii,White-tailed Jackrabbit,43145
523505,2014-02-06,2014-02-06 21:30:40 UTC,29860,51.011305,-114.21948,408,Tamiasciurus hudsonicus,American Red Squirrel,46260
523506,2014-02-06,2014-02-06 21:30:37 UTC,29860,51.011443,-114.220043,1575,Lepus americanus,Snowshoe Hare,43132
523740,2014-02-07,2014-02-07 19:12:58 UTC,29860,50.976165,-114.03204,5,Odocoileus virginianus,White-tailed Deer,42223
523741,2014-02-07,2014-02-07 14:52:12 UTC,29860,50.978764,-114.01157,65,Cicindela purpurea,Purple Tiger Beetle,53598
523748,2014-02-07,2014-02-07 19:30:39 UTC,29860,50.978221,-114.030751,10,Sciurus carolinensis,Eastern Gray Squirrel,46017
523749,2014-02-07,2014-02-07 19:12:58 UTC,29860,50.976165,-114.03204,5,Odocoileus virginianus,White-tailed Deer,42223
523750,2014-02-07,2014-02-07 19:30:57 UTC,29860,50.979629,-114.031421,76,Ondatra zibethicus,Muskrat,45763
527130,2014-02-10,2014-02-10 19:17:59 UTC,29860,50.974714,-114.033355,5,Sciurus carolinensis,Eastern Gray Squirrel,46017
527131,2014-02-10,2014-02-10 19:15:05 UTC,29860,50.974802,-114.030845,10,Odocoileus virginianus,White-tailed Deer,42223
527132,2014-02-10,2014-02-10 19:34:58 UTC,29860,50.97283,-114.028105,30,Vulpes vulpes,Red Fox,42069
527162,2014-02-10,2014-02-10 19:19:54 UTC,29860,50.976679,-114.033402,321,Apiosporina morbosa,black knot,58700
527859,2014-02-10,2014-02-10 23:45:27 UTC,29860,51.027437,-114.056759,229,Lepus townsendii,White-tailed Jackrabbit,43145
528824,2014-02-12,2014-02-12 19:12:31 UTC,29860,50.976564,-114.02994,5,Odocoileus virginianus,White-tailed Deer,42223
528825,2014-02-12,2014-02-12 19:11:04 UTC,29860,50.976587,-114.029477,5,Sciurus carolinensis,Eastern Gray Squirrel,46017
528833,2014-02-12,2014-02-12 19:11:04 UTC,29860,50.976587,-114.029477,5,Sciurus carolinensis,Eastern Gray Squirrel,46017
529049,2014-02-12,2014-02-12 22:45:17 UTC,29860,50.995535,-114.157889,10,Lepus americanus,Snowshoe Hare,43132
529050,2014-02-12,2014-02-12 23:00:35 UTC,29860,50.99095,-114.155114,5,Tamiasciurus hudsonicus,American Red Squirrel,46260
529051,2014-02-12,2014-02-12 22:45:45 UTC,29860,50.995305,-114.157992,5,Canis latrans,Coyote,42051
529491,2014-02-12,2014-02-13 03:30:28 UTC,29860,51.038945,-114.027979,66,Lepus townsendii,White-tailed Jackrabbit,43145
529492,2014-02-13,2014-02-13 13:45:49 UTC,29860,51.0204,-114.064469,31,Mephitis mephitis,Striped Skunk,41880
529897,2014-02-13,2014-02-13 23:46:23 UTC,29860,51.020427,-114.064321,10,Lepus townsendii,White-tailed Jackrabbit,43145
531657,2014-02-14,2014-02-15 00:30:21 UTC,29860,50.927792,-114.118851,73,Sorex cinereus,Masked Shrew,59815
531658,2014-02-14,2014-02-15 01:15:43 UTC,29860,50.932349,-114.109563,88,Odocoileus virginianus,White-tailed Deer,42223
531660,2014-02-14,2014-02-15 00:30:22 UTC,29860,50.928618,-114.12608,89,Lepus americanus,Snowshoe Hare,43132
534623,2014-02-17,2014-02-18 00:10:10 UTC,29860,50.929651,-114.105637,10,Odocoileus virginianus,White-tailed Deer,42223
535551,2014-02-18,2014-02-18 19:10:18 UTC,29860,50.975637,-114.028899,5,Sciurus carolinensis,Eastern Gray Squirrel,46017
536798,2014-02-19,2014-02-19 19:20:44 UTC,29860,50.999246,-114.02598,605,Sciurus carolinensis,Eastern Gray Squirrel,46017
536799,2014-02-18,2014-02-19 03:00:11 UTC,29860,51.019615,-114.06516,85,Mephitis mephitis,Striped Skunk,41880
536800,2014-02-18,2014-02-19 01:50:54 UTC,29860,51.015279,-114.069423,249,Lepus townsendii,White-tailed Jackrabbit,43145
541156,2014-02-23,2014-02-24 00:03:59 UTC,29860,50.990818,-114.147306,10,Lepus americanus,Snowshoe Hare,43132
609122,2014-04-03,2014-04-04 01:02:34 UTC,34719,51.062881,-114.09953,7,Asio otus,Long-eared Owl,20307
609123,2014-04-03,2014-04-04 01:11:55 UTC,34719,51.062834,-114.099573,8,Pica hudsonia,Black-billed Magpie,143853
609124,2014-04-03,2014-04-04 01:12:19 UTC,34719,51.062802,-114.099624,8,Asio otus,Long-eared Owl,20307
609125,2014-04-03,2014-04-04 02:09:46 UTC,34719,51.062706,-114.099809,41,Asio otus,Long-eared Owl,20307
609144,2014-04-04,,34719,51.06281,-114.099568,8,Asio otus,Long-eared Owl,20307
609146,2014-04-04,,34719,51.062814,-114.099498,83,Asio otus,Long-eared Owl,20307
609148,2014-04-04,,34719,51.062847,-114.099557,4,Asio otus,Long-eared Owl,20307
677958,2014-05-14,2014-05-15 03:17:34 UTC,38649,51.104434,-114.195344,5,Ixoreus naevius,Varied Thrush,145088
690190,2014-05-14,2014-05-14 20:23:20 UTC,39360,51.0129062227,-114.1316934397,5,Branta canadensis,Canada Goose,7089
690191,2014-05-21,2014-05-21 16:56:36 UTC,39360,50.9859778919,-114.1600662657,5,Pterostichus,Blackclock Ground Beetles,121186
690192,2014-05-21,2014-05-21 16:53:21 UTC,39360,50.986116,-114.15924,5,Sayornis phoebe,Eastern Phoebe,17008
690193,2014-05-21,2014-05-21 17:04:22 UTC,39360,50.986469,-114.161185,5,Anisoptera,Dragonflies,47927
690194,2014-05-21,2014-05-21 16:59:15 UTC,39360,50.985921,-114.160705,10,Empidonax minimus,Least Flycatcher,16602
690195,2014-05-21,2014-05-21 17:43:12 UTC,39360,50.990174627,-114.1566477903,5,Homo sapiens,Human,43584
690348,2014-05-21,2014-05-21 18:04:14 UTC,39360,50.994556,-114.157895,5,Bucephala clangula,Common Goldeneye,6990
690356,2014-05-21,2014-05-21 18:33:39 UTC,39360,50.992436,-114.148695,5,Pandion haliaetus,Osprey,116999
690357,2014-05-21,2014-05-21 18:32:44 UTC,39360,51.011984,-114.180192,3061,Melospiza melodia,Song Sparrow,9100
690363,2014-05-21,2014-05-21 18:32:44 UTC,39360,51.011984,-114.180192,3061,Melospiza melodia,Song Sparrow,9100
690508,2014-05-21,2014-05-21 19:05:33 UTC,39360,50.99466,-114.145353,5,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,179988
695315,2014-05-21,2014-05-21 23:35:44 UTC,39360,51.05718,-114.077744,5,,,
732093,2014-06-07,2014-06-07 20:52:50 UTC,39360,51.054327,-114.069703,10,,,
755685,2014-06-23,2014-06-23 16:53:19 UTC,39360,51.057086,-114.077775,65,,,
755686,2014-06-26,2014-06-27 02:22:03 UTC,39360,51.100269,-114.197579,30,Trochilidae,Hummingbirds,5562
